lf/df,lf(mm),Vf(%),fc'(MPa),d(mm),c/d,l/d,"τu,exp(MPa)",Predicted Values
40,30,0.5,25.52,14,2.86,5.0,8.9,8.871659513433237
40,32,1.6,48.92,14,6.0,5.0,19.98,19.93297778211415
55,30,1.0,44.2,12,5.75,4.17,16.18,17.373232359415475
0,0,0.0,23.52,14,5.0,5.0,9.81,9.830733255350468
40,32,0.0,38.16,20,6.0,5.0,16.18,16.128700382605064
80,60,0.38,43.12,14,5.0,5.0,13.35,13.33263987851568
80,60,1.0,57.4,12,5.75,4.17,21.78,21.776999416106673
0,0,0.0,45.28,12,5.75,5.0,19.09,18.81233177722917
55,30,2.0,59.9,12,5.75,4.17,22.47,25.271560382252233
55,30,0.7,43.0,16,4.19,9.38,11.78,11.787797890013188
55,30,1.0,44.2,12,5.75,4.17,15.27,17.373232359415475
55,30,0.0,50.8,12,5.75,4.17,19.68,17.87297387507882
55,30,0.0,39.6,12,5.75,4.17,14.38,15.313487267354262
80,60,1.0,27.76,14,2.86,5.0,9.81,9.798576771411588
50,20,1.0,24.0,16,4.19,4.69,15.91,15.214715472267544
40,30,0.38,62.96,14,3.93,5.0,14.16,14.164594591547182
80,60,0.75,44.88,14,2.86,5.0,11.47,11.506897077291766
0,0,0.0,45.28,16,4.19,5.0,14.84,14.786509432559257
55,30,1.0,56.4,12,5.75,4.17,24.33,22.77248694026136
80,60,1.0,27.76,14,3.93,5.0,11.01,11.002822312444478
55,30,2.0,45.2,12,5.75,4.17,18.85,18.852243139531684
80,60,1.5,44.5,16,4.19,9.38,16.52,16.54527901426313
80,60,0.25,42.16,14,3.93,5.0,12.7,12.553814755548833
40,30,0.25,41.44,14,3.93,5.0,12.34,12.394760499567605
0,0,0.0,44.0,16,3.5,5.0,21.22,21.140112343113447
0,0,0.0,43.1,16,4.19,9.38,9.42,9.411423640930206
55,30,1.5,42.4,16,4.19,9.38,15.36,15.343673758032663
55,30,1.0,44.2,12,5.75,4.17,16.87,17.373232359415475
80,60,1.0,66.8,14,2.86,5.0,14.26,14.238215946056132
80,60,0.5,56.0,12,5.75,4.17,20.46,20.49005820999498
65,60,1.0,55.9,12,5.75,4.17,19.96,19.972138606171512
